# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-1-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-1-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-67.9472,0.977558,0.380381,3,7,0,69.7742,0.967334,0.944516
-68.0737,0.976872,0.380381,3,7,0,70.5563,0.974731,0.761138
-67.8776,0.977975,0.380381,3,7,0,69.0491,0.660514,0.881577
-67.1936,1,0.380381,2,3,0,67.8997,0.756942,0.85998
-68.2145,0.966993,0.380381,3,7,0,68.6939,0.78486,0.61576
-67.3282,1,0.380381,4,15,0,68.4475,0.741136,0.823858
-67.1755,0.99962,0.380381,3,7,0,67.7505,0.859477,0.941745
-67.2595,0.943909,0.380381,3,7,0,69.4861,0.946322,0.833251
-67.6678,0.991932,0.380381,3,7,0,67.8929,0.966024,0.911683
-66.9092,1,0.380381,3,7,0,67.6824,0.871956,0.898355
-67.2159,0.986213,0.380381,2,3,0,67.3181,0.766517,0.906434
-68.6571,0.96275,0.380381,3,7,0,69.6469,0.854656,0.542009
-68.4532,0.97137,0.380381,3,9,0,69.9892,0.843317,0.987586
-67.2478,0.997309,0.380381,3,7,0,68.6515,0.903089,0.745229
-67.6086,0.959018,0.380381,4,15,0,68.3489,0.853541,0.967835
-68.2647,0.982883,0.380381,3,7,0,68.6756,0.945016,0.977756
-69.6528,0.995425,0.380381,3,7,0,69.9662,0.829637,0.996355
-69.4383,0.991369,0.380381,3,7,0,70.7806,0.905396,0.995353
-67.7601,0.991887,0.380381,3,7,0,69.8878,0.776817,0.964699
-67.6293,0.999283,0.380381,3,7,0,67.8586,0.820782,0.966169
-67.0451,0.988149,0.380381,2,7,0,68.3393,0.916865,0.903961
-67.2725,0.92939,0.380381,1,3,0,69.8306,0.781316,0.9294
-68.676,0.903505,0.380381,3,7,0,69.8176,0.63142,0.703574
-71.3843,0.859005,0.380381,3,7,0,71.9851,0.389369,0.768285
-68.6441,0.992874,0.380381,3,7,0,73.7908,0.973097,0.653306
-67.1736,0.995083,0.380381,2,7,0,68.9309,0.915245,0.929516
-67.5861,0.915678,0.380381,1,3,0,70.4443,0.767187,0.952478
-67.7595,0.992918,0.380381,3,7,0,68.1199,0.948519,0.955861
-67.4557,0.998475,0.380381,3,7,0,68.1367,0.872465,0.696809
-68.4017,0.944623,0.380381,2,3,0,68.4941,0.855554,0.570228
-70.9003,0.884549,0.380381,3,7,0,72.7795,0.996852,0.97945
-68.7696,0.988034,0.380381,4,15,0,71.4827,0.665661,0.643729
-67.8467,0.970954,0.380381,3,7,0,70.5107,0.665404,0.837047
-68.2654,0.95593,0.380381,3,7,0,69.1346,0.980563,0.770194
-67.2236,0.992955,0.380381,4,15,0,68.8165,0.921323,0.931496
-67.0198,1,0.380381,3,7,0,67.2941,0.795053,0.875688
-68.4745,0.943405,0.380381,3,15,0,69.2515,0.808152,0.986674
-67.9626,0.960274,0.380381,1,3,0,69.5639,0.888914,0.978544
-67.0353,0.984569,0.380381,3,7,0,68.7293,0.806356,0.903435
