# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-2-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-2-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.360383
# Diagonal elements of inverse mass matrix:
# 1.29157, 1.81102
-67.0477,0.989246,0.360383,3,9,0,68.2811,0.88309,0.780644
-67.2729,0.989903,0.360383,3,15,0,67.818,0.948745,0.846458
-67.293,0.980499,0.360383,3,15,0,68.1908,0.856271,0.951139
-67.3044,0.995762,0.360383,3,15,0,67.677,0.849682,0.724661
-66.908,0.976212,0.360383,1,3,0,67.7339,0.859959,0.824405
-67.3846,0.978081,0.360383,3,7,0,67.7377,0.956435,0.852147
-66.9734,0.996901,0.360383,2,7,0,67.6753,0.906694,0.826733
-67.4103,0.992179,0.360383,3,7,0,67.4401,0.957588,0.880637
-66.9052,0.997735,0.360383,2,7,0,67.6918,0.856815,0.826612
-66.8739,0.998412,0.360383,3,7,0,66.984,0.883577,0.864909
-67.5871,0.960506,0.360383,2,7,0,68.4993,0.9665,0.872614
-68.6487,0.95019,0.360383,3,11,0,69.5966,0.84374,0.989939
-68.389,0.996726,0.360383,4,15,0,68.8261,0.897534,0.986361
-69.3742,0.991033,0.360383,2,3,0,69.3971,0.940095,0.993693
-68.6742,0.991929,0.360383,4,15,0,70.6653,0.886572,0.990223
-68.8953,0.999041,0.360383,2,3,0,68.9292,0.893772,0.992136
-69.2444,0.98571,0.360383,3,7,0,70.0496,0.945033,0.517044
-67.7722,1,0.360383,3,7,0,69.6758,0.717623,0.944327
-68.3825,0.979397,0.360383,3,7,0,70.4243,0.910858,0.582314
-68.9332,0.985677,0.360383,2,3,0,68.9677,0.921097,0.52746
-70.4464,0.984239,0.360383,3,7,0,71.3052,0.988164,0.991622
-69.5718,0.999856,0.360383,4,15,0,70.8688,0.614537,0.599605
-67.6288,1,0.360383,4,15,0,69.4585,0.724994,0.763097
-68.7437,0.855805,0.360383,2,7,0,70.9994,0.879327,0.99101
-67.5508,0.993848,0.360383,2,7,0,69.7929,0.927573,0.955999
-67.2727,0.998702,0.360383,3,15,0,67.8429,0.944116,0.904955
-68.0251,0.984921,0.360383,2,5,0,68.1913,0.967006,0.951226
-67.9312,0.997426,0.360383,3,7,0,68.5563,0.936431,0.663496
-67.1873,0.9652,0.360383,2,7,0,69.052,0.920983,0.926957
-67.1935,0.957751,0.360383,2,7,0,70.2528,0.801244,0.929672
-67.1501,0.997613,0.360383,3,15,0,67.522,0.765228,0.859978
-67.3476,0.990736,0.360383,3,7,0,67.6869,0.777733,0.936435
-67.6931,0.995752,0.360383,3,7,0,68.0073,0.846325,0.662067
-66.8923,0.993131,0.360383,2,7,0,68.1143,0.886455,0.883588
-66.9812,0.997834,0.360383,3,7,0,67.013,0.8348,0.909597
-68.2844,0.953345,0.360383,3,7,0,69.7061,0.973974,0.714229
-67.5916,0.797774,0.360383,2,5,0,71.9968,0.963086,0.909361
-68.0571,0.99584,0.360383,3,7,0,68.4462,0.979297,0.816009
-67.5734,1,0.360383,3,7,0,68.1279,0.965621,0.880509
-67.1684,0.993341,0.360383,4,15,0,68.776,0.92457,0.790197
-68.4188,0.980995,0.360383,3,7,0,68.6445,0.985466,0.913896
-68.0933,1,0.360383,3,7,0,68.5926,0.980874,0.832221
-67.996,0.965078,0.360383,3,15,0,69.477,0.934189,0.97328
-68.5586,0.985703,0.360383,3,7,0,69.9711,0.893736,0.988765
-68.8216,0.997565,0.360383,2,3,0,68.8915,0.921398,0.990408
-69.2667,0.997861,0.360383,3,7,0,70.108,0.772056,0.993268
-69.0864,0.986231,0.360383,3,7,0,70.093,0.958252,0.98887
-67.3794,0.99852,0.360383,4,15,0,69.9943,0.929865,0.748372
-67.8046,0.998854,0.360383,4,15,0,68.0027,0.680289,0.802743
-67.0022,1,0.360383,3,7,0,67.9124,0.868534,0.790273
-67.0665,0.99627,0.360383,2,3,0,67.1094,0.85046,0.775229
-67.0386,1,0.360383,3,7,0,67.1718,0.834729,0.920921
-67.5026,0.989143,0.360383,2,7,0,67.708,0.854628,0.689755
-67.3233,1,0.360383,3,7,0,67.5358,0.838912,0.724087
-67.4609,0.977467,0.360383,2,7,0,68.2295,0.947929,0.930453
-68.0478,0.987471,0.360383,3,7,0,68.8453,0.738131,0.672439
-68.9101,0.955018,0.360383,3,7,0,69.7027,0.806018,0.526595
-69.6636,1,0.360383,4,15,0,69.8733,0.942982,0.995168
-70.0637,0.991494,0.360383,4,15,0,70.2945,0.953376,0.996306
-72.1693,0.986792,0.360383,4,15,0,72.7607,0.573905,0.998245
-70.1533,1,0.360383,3,7,0,72.3723,0.941922,0.997107
-70.6771,0.999798,0.360383,3,7,0,71.2007,0.749816,0.998207
-70.3814,1,0.360383,2,3,0,70.7866,0.820684,0.99822
-67.465,0.972206,0.360383,2,7,0,72.173,0.934959,0.945558
-66.8912,0.991755,0.360383,2,7,0,68.3574,0.837465,0.85901
-67.4435,0.932979,0.360383,1,3,0,68.6406,0.773427,0.743763
-68.0369,0.987853,0.360383,3,7,0,68.2243,0.658512,0.78637
-68.6136,0.944986,0.360383,3,15,0,69.8601,0.986044,0.936833
-68.4615,0.992951,0.360383,3,15,0,69.5179,0.950269,0.613306
-67.5119,1,0.360383,3,7,0,68.6704,0.963106,0.851991
-68.1884,0.966018,0.360383,3,7,0,68.9122,0.952629,0.972525
-67.7591,0.964698,0.360383,2,7,0,71.5157,0.927868,0.678482
-67.0045,0.998081,0.360383,3,7,0,68.0047,0.803722,0.888351
-68.039,0.943658,0.360383,2,7,0,69.4524,0.874818,0.980731
-67.5905,1,0.360383,2,3,0,68.0733,0.889727,0.966416
-67.4963,1,0.360383,3,7,0,67.7066,0.904878,0.959892
-68.1348,0.994633,0.360383,3,7,0,68.5711,0.711487,0.685717
-67.2239,0.999275,0.360383,3,7,0,68.671,0.945386,0.873565
-67.7992,0.980936,0.360383,3,7,0,68.4112,0.761019,0.690996
-67.1219,0.987689,0.360383,1,3,0,68.1196,0.806164,0.787942
-67.1614,0.977631,0.360383,3,7,0,67.7277,0.792285,0.919665
-67.2351,0.997119,0.360383,3,7,0,67.5589,0.900621,0.94278
-67.4335,0.995054,0.360383,2,3,0,67.4973,0.901388,0.957052
-68.3063,0.990559,0.360383,3,7,0,68.4931,0.708781,0.970606
-67.6892,0.996873,0.360383,3,7,0,68.8941,0.957581,0.753346
-69.0509,0.991953,0.360383,3,7,0,69.3719,0.99279,0.907082
-66.8675,0.983188,0.360383,3,9,0,70.7126,0.876909,0.85806
-67.3297,0.948577,0.360383,2,7,0,68.9171,0.808161,0.738099
-67.8876,0.982116,0.360383,3,7,0,68.3517,0.658366,0.873073
-67.6981,1,0.360383,2,3,0,67.8931,0.682476,0.880938
-67.0934,1,0.360383,2,3,0,67.663,0.780679,0.886112
-67.2948,0.99449,0.360383,3,7,0,67.4967,0.835652,0.949224
-67.6392,0.972939,0.360383,3,7,0,68.3759,0.740571,0.945422
-67.9517,0.9919,0.360383,3,7,0,68.1457,0.680475,0.93527
-70.3297,0.970402,0.360383,3,7,0,70.7187,0.96536,0.99645
-71.3245,0.979366,0.360383,3,11,0,74.7402,0.995645,0.990865
-70.1142,1,0.360383,3,7,0,71.4139,0.994654,0.97186
-68.9928,0.99986,0.360383,3,7,0,70.2688,0.992785,0.886065
-67.1491,0.996237,0.360383,3,15,0,69.4897,0.846388,0.937944
