# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-11 07:28:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpUxxAsl/standata-560c52aa6cbe.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503110828-2-8bf2bf.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503110828-2-542326.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l,theta_w_prior,theta_w_posterior,theta_l_prior,theta_l_posterior,prior_w_preds,posterior_w_preds,prior_l_preds,posterior_l_preds
# Adaptation terminated
# Step size = 0.224526
# Diagonal elements of inverse mass matrix:
# 1.64543, 2.22938
-65.5573,0.99009,0.224526,2,7,0,66.7198,0.970847,0.995993,0.303178,0.725288,0.483853,0.73027,109,88,120,87
-63.803,0.996613,0.224526,4,15,0,65.8369,0.838889,0.524972,0.94871,0.698231,0.375242,0.62831,106,84,63,88
-64.337,0.986492,0.224526,2,3,0,64.478,0.806349,0.496049,0.606045,0.691331,0.471069,0.62153,104,81,53,75
-63.2155,1,0.224526,2,3,0,64.4828,0.819793,0.667345,0.339807,0.694192,0.694521,0.660908,100,82,83,77
-65.2631,0.951229,0.224526,4,15,0,65.9333,0.992554,0.983324,0.620577,0.729592,0.508731,0.727767,118,88,120,79
-63.1327,0.999548,0.224526,4,15,0,66.3344,0.865445,0.948748,0.317032,0.703797,0.560743,0.720863,101,84,110,81
-63.3712,0.970668,0.224526,3,7,0,65.0781,0.789801,0.89166,0.63273,0.687789,0.177564,0.709233,91,81,113,86
-64.6233,0.994597,0.224526,4,15,0,65.5539,0.990585,0.973406,0.656197,0.729203,0.833139,0.725798,120,92,119,86
-67.1807,0.989663,0.224526,3,15,0,67.6113,0.998921,0.984462,0.373003,0.730846,0.490474,0.727993,119,94,118,82
-64.3858,0.99992,0.224526,4,15,0,67.6834,0.99654,0.863374,0.956865,0.730378,0.421307,0.703365,120,80,102,87
-63.0413,0.991523,0.224526,3,15,0,66.5566,0.957177,0.952413,0.782397,0.722556,0.578094,0.7216,116,93,114,98
-62.7147,0.999695,0.224526,4,15,0,63.4502,0.840464,0.851242,0.742173,0.698563,0.249466,0.700828,105,88,104,85
-62.4815,1,0.224526,3,15,0,62.7683,0.964263,0.750335,0.391035,0.723975,0.556964,0.679252,118,94,84,81
-62.7942,0.98928,0.224526,3,15,0,63.4116,0.831598,0.776604,0.493007,0.696693,0.557145,0.684948,94,91,97,80
-64.0432,0.965255,0.224526,4,15,0,64.8133,0.745466,0.682957,0.215728,0.67819,0.722468,0.664398,95,81,74,84
-63.379,0.998027,0.224526,3,7,0,64.4882,0.828337,0.613077,0.123736,0.696003,0.110189,0.648642,97,86,76,80
-62.2616,1,0.224526,3,7,0,63.4157,0.905054,0.842643,0.560647,0.711987,0.20518,0.699022,109,78,104,86
-62.2737,0.999386,0.224526,4,15,0,62.3647,0.930393,0.870202,0.240175,0.717155,0.0378025,0.704788,115,91,107,87
-62.4125,0.993592,0.224526,2,7,0,62.843,0.938661,0.900548,0.390548,0.718829,0.548787,0.711062,112,87,110,86
-62.304,0.999976,0.224526,4,15,0,62.5866,0.954031,0.791758,0.843348,0.721925,0.466385,0.688209,115,76,100,81
-62.5238,0.998818,0.224526,4,15,0,62.6117,0.859209,0.820667,0.650813,0.702495,0.31509,0.694378,106,86,103,84
-62.734,0.996308,0.224526,4,15,0,63.1034,0.973466,0.889894,0.873848,0.72581,0.346921,0.708868,116,91,111,91
-62.857,0.998035,0.224526,4,15,0,63.217,0.941926,0.602609,0.207409,0.719489,0.874286,0.646253,112,89,73,78
-62.9712,0.99688,0.224526,4,15,0,63.4484,0.912035,0.95422,0.362187,0.713416,0.682227,0.721963,108,86,114,94
-62.3202,0.99116,0.224526,4,15,0,64.4322,0.917875,0.881626,0.747093,0.714609,0.73611,0.707159,111,81,99,86
-62.7373,0.991496,0.224526,3,15,0,63.2239,0.973163,0.716437,0.274354,0.725749,0.065192,0.671822,115,89,90,80
-66.297,0.931584,0.224526,3,15,0,67.1485,0.760048,0.33615,0.378769,0.681364,0.357353,0.583255,91,81,47,72
-64.6479,1,0.224526,3,7,0,66.9852,0.910718,0.365074,0.445111,0.713147,0.477322,0.590268,112,80,37,66
-64.5056,0.99887,0.224526,4,15,0,65.8132,0.985137,0.980193,0.141392,0.728126,0.412896,0.727147,120,88,118,80
-65.4401,0.998539,0.224526,3,7,0,65.5165,0.986537,0.991915,0.217318,0.728403,0.445937,0.729466,119,98,118,98
-64.7153,1,0.224526,3,7,0,65.7874,0.986371,0.982932,0.343454,0.728371,0.736722,0.72769,117,90,119,89
-62.6695,0.999927,0.224526,3,7,0,64.8147,0.972532,0.879464,0.939796,0.725624,0.688922,0.706711,117,79,107,87
-62.9215,0.998793,0.224526,3,7,0,62.9891,0.980072,0.886814,0.543505,0.727122,0.307759,0.708232,118,84,103,83
-62.1998,0.998111,0.224526,3,15,0,63.8686,0.926856,0.808413,0.688803,0.716437,0.284554,0.691771,109,80,102,86
-62.212,0.999521,0.224526,2,7,0,62.2371,0.916135,0.81104,0.583899,0.714254,0.255127,0.692331,114,85,99,79
-62.2021,0.99591,0.224526,2,7,0,62.5338,0.932669,0.810432,0.799213,0.717616,0.747198,0.692202,116,86,96,83
-62.3827,0.990694,0.224526,3,11,0,62.8104,0.935719,0.896223,0.770747,0.718234,0.483481,0.710173,114,92,107,91
-62.2454,0.995383,0.224526,2,7,0,62.9637,0.925958,0.8593,0.506652,0.716254,0.531878,0.702514,111,83,104,82
-62.5543,0.994476,0.224526,4,15,0,62.9873,0.869651,0.881404,0.927566,0.704673,0.577555,0.707113,98,93,105,83
-63.083,0.976402,0.224526,3,7,0,64.0994,0.804373,0.772459,0.355046,0.690909,0.312826,0.684053,102,78,85,80
-63.1427,0.997466,0.224526,1,1,0,63.1599,0.800139,0.764519,0.901308,0.690004,0.268954,0.682334,95,76,87,78
-63.258,0.978726,0.224526,4,15,0,64.922,0.987058,0.726985,0.38281,0.728506,0.835209,0.674143,118,84,83,77
-63.2648,0.999156,0.224526,4,15,0,64.1433,0.986853,0.890088,0.664683,0.728466,0.454074,0.708908,119,77,106,79
-64.0935,0.994395,0.224526,3,7,0,64.3985,0.992418,0.629769,0.625885,0.729565,0.800805,0.652437,120,89,72,67
-64.1365,0.999418,0.224526,2,3,0,64.2439,0.993268,0.643703,0.200846,0.729733,0.321262,0.65559,120,86,83,82
-62.7262,1,0.224526,4,15,0,64.7006,0.960249,0.924332,0.483294,0.723172,0.687907,0.715924,118,77,114,89
-62.5438,0.999953,0.224526,4,15,0,62.8818,0.923182,0.664005,0.514067,0.71569,0.677531,0.66016,104,83,77,78
-63.0839,0.982947,0.224526,2,3,0,63.1085,0.915717,0.561113,0.436137,0.714169,0.858045,0.63671,113,85,60,80
-63.6094,0.992177,0.224526,4,15,0,64.4504,0.987968,0.929381,0.698466,0.728686,0.689176,0.71695,120,91,113,75
-63.2916,1,0.224526,4,15,0,63.9296,0.988771,0.766847,0.438551,0.728845,0.397028,0.682838,120,85,87,84
-62.6821,0.989292,0.224526,3,11,0,64.7243,0.93194,0.935399,0.839264,0.717469,0.843702,0.718169,111,89,112,89
-62.7331,0.999723,0.224526,2,3,0,62.7397,0.931124,0.939743,0.683123,0.717303,0.520155,0.719048,112,85,111,82
-62.2471,0.992474,0.224526,2,7,0,63.8641,0.944948,0.837225,0.729962,0.720098,0.354309,0.697881,114,86,99,81
-62.8395,0.992288,0.224526,3,7,0,62.8708,0.940453,0.604957,0.676992,0.719191,0.661821,0.64679,112,85,71,84
-63.1572,0.984266,0.224526,3,15,0,63.9115,0.876849,0.955016,0.862524,0.706169,0.356303,0.722123,109,77,116,90
-62.3571,0.999355,0.224526,3,7,0,63.2492,0.897882,0.873253,0.212145,0.710514,0.244587,0.705422,108,92,109,80
-62.2082,0.990476,0.224526,3,15,0,63.2665,0.9219,0.830987,0.420224,0.715429,0.332271,0.696564,111,80,104,80
-62.323,0.992789,0.224526,3,11,0,62.7877,0.955713,0.839698,0.745116,0.722263,0.589816,0.698402,116,93,106,82
-62.226,0.99685,0.224526,3,15,0,62.8549,0.926442,0.775967,0.299619,0.716353,0.779265,0.68481,116,85,95,83
-62.2184,0.998554,0.224526,4,15,0,62.3629,0.932168,0.842521,0.767453,0.717515,0.576421,0.698996,114,84,105,79
